MaturityYears,ZeroSpotRate
15.699999999999998,7.490993921195964
15.799999999999999,7.4946189347083525
15.899999999999999,7.498214146816147
15.999999999999998,7.501780052212012
16.099999999999998,7.505317132660196
16.2,7.508825857343211
16.3,7.512306683199589
16.4,7.515760055252931
16.5,7.519186406932474
16.6,7.522586160385383
16.7,7.5259597267809735
16.8,7.529307506607073
16.9,7.532629889958713
17.0,7.535927256819337
17.1,7.539199977334735
17.2,7.542448412079855
17.3,7.545672912318698
17.4,7.548873820257451
17.5,7.552051469291049
17.6,7.555206184243295
17.7,7.558338281600746
17.8,7.561448069740477
17.9,7.564535849151922
18.0,7.567601912652895
18.1,7.570646545599968
18.2,7.573670026093351
18.3,7.576672625176385
18.4,7.579654607029809
18.5,7.582616229160928
18.6,7.585557742587801
18.7,7.588479392018585
18.8,7.591381416026158
18.9,7.5942640472181235
19.0,7.597127512402344
19.1,7.599972032748085
19.2,7.602797823942906
19.3,7.605605096345386
19.4,7.608394055133805
19.5,7.611164900450879
19.6,7.613917827544644
19.7,7.616653026905592
19.8,7.619370684400155
19.9,7.622070981400627
20.0,7.624754094911621
20.1,7.627420197693134
20.2,7.630069458380326
20.3,7.632702041600095
20.4,7.635318108084497
20.5,7.637917814781155
20.6,7.6405013149606615
20.7,7.643068758321117
20.8,7.645620291089819
20.9,7.6481560561222315
21.0,7.650676192998261
21.1,7.653180838115922
21.2,7.655670124782477
21.3,7.658144183303083
21.4,7.660603141067036
21.5,7.663047122631665
21.599999999999998,7.6654762498039375
21.7,7.667890641719824
21.8,7.670290414921511
21.9,7.67267568343248
22.0,7.675046558830532
22.099999999999998,7.677403150318804
22.2,7.679745564794828
22.3,7.682073906917695
22.4,7.68438827917334
22.5,7.686688781938052
22.599999999999998,7.688975513540192
22.7,7.691248570320223
22.8,7.693508046689054
22.9,7.695754035184766
23.0,7.697986626527751
23.099999999999998,7.700205909674309
23.2,7.7024119718687505
23.3,7.704604898694026
23.4,7.706784774120941
23.5,7.7089516805559795
23.599999999999998,7.71110569888778
23.7,7.7132469085322946
23.8,7.715375387476672
23.9,7.717491212321898
24.0,7.719594458324204
24.099999999999998,7.72168519943533
24.2,7.723763508341598
24.3,7.725829456501897
24.4,7.727883114184562
24.5,7.729924550503201
24.599999999999998,7.731953833451482
24.7,7.733971029936928
24.8,7.73597620581372
24.9,7.737969425914556
25.0,7.739950754081581
25.099999999999998,7.7419202531964215
25.2,7.743877985209335
25.3,7.745824011167511
25.4,7.747758391242535
25.5,7.749681184757054
25.599999999999998,7.751592450210644
25.7,7.753492245304923
25.8,7.755380626967917
25.9,7.757257651377688
26.0,7.759123373985282
26.099999999999998,7.760977849536961
26.2,7.762821132095809
26.3,7.764653275062634
26.4,7.766474331196295
26.5,7.76828435263338
26.599999999999998,7.770083390907291
26.7,7.771871496966769
26.8,7.773648721193821
26.9,7.77541511342113
27.0,7.777170722948908
27.099999999999998,7.778915598561246
27.2,7.780649788541949
27.3,7.782373340689876
27.4,7.784086302333815
27.5,7.785788720346893
27.599999999999998,7.7874806411605215
27.7,7.7891621107779105
27.8,7.790833174787169
27.9,7.792493878373967
28.0,7.794144266333813
28.099999999999998,7.795784383083939
28.2,7.797414272674788
28.3,7.799033978801159
28.4,7.800643544812964
28.5,7.802243013725661
28.599999999999998,7.803832428230335
28.7,7.805411830703444
28.8,7.8069812632162625
28.9,7.8085407675440015
29.0,7.810090385174619
29.099999999999998,7.811630157317365
29.2,7.81316012491101
29.3,7.814680328631816
29.4,7.816190808901235
29.5,7.81769160589334
29.599999999999998,7.8191827595420165
29.7,7.820664309547892
29.8,7.822136295385041
29.9,7.823598756307445
30.0,7.82505173135524
